name,start_date,end_date,agency,unit,acres,type,receptors,lat,lng,approval_type,elevation,airshed,class1,nonattainment,added_on
Fruitland,3/30/2016,4/5/2016,State,Northeastern Area,6,Piles,,40.191,-110.68,Historical,6584,"16 - Above 6,500 feet
",0,0,3/29/2016
Upper Santa Clara,3/29/2016,4/4/2016,USFS,Dixie NF Pine Valley,20,Piles,"Veyo, Pine Valley, Central",37.377,-113.471,Historical,6650,"16 - Above 6,500 feet
",0,0,3/28/2016
Pine Valley District Piles,3/29/2016,4/4/2016,USFS,Dixie NF Pine Valley,20,Piles,"Veyo, New Harmony, Central",37.444,-113.494,Historical,5200,"3 - Virgin R.
",0,0,3/28/2016
West Slope WUI piles ,4/1/2016,4/7/2016,USFS,Manti-La Sal South Zone,500,Piles,"Moab, Spanish Valley , Castle Valley ",38.497,-109.326,Historical,6700,"16 - Above 6,500 feet
",0,0,3/28/2016
Zion Piles,3/29/2016,4/1/2016,NPS,Utah NPS Units,1,Piles,Springdale,37.414,-113.209,Historical,3900,"3 - Virgin R.
",1,0,3/28/2016
Black Cedar,3/28/2016,4/3/2016,USFS,Fishlake NF Fillmore,300,Piles,"I-15, Fillmore City ",38.98,-112.248,Historical,5900,"2 - S. West Desert
",0,0,3/27/2016
Cooper Knoll Central,3/28/2016,4/3/2016,USFS,Dixie NF Cedar City,600,Broadcast,,37.719,-112.599,Historical,7800,"16 - Above 6,500 feet
",0,0,3/25/2016
Monument Peak Rx,3/29/2016,4/4/2016,USFS,Fishlake NF Richfield,500,Stand Replace,"Grass Valley Communities, Koosharem, Monroe Meadows, Richfield, Manning Meadows, Monroe",38.54,-111.928,Historical,7000,"16 - Above 6,500 feet
",0,0,3/24/2016
Salt Creek WMA,3/26/2016,4/1/2016,State,Bear River Area,300,Broadcast,Interstate 15/84/Tremonton,41.638,-112.254,Historical,4200,"4 - Cache/Bear R.
",0,0,3/24/2016
Grouse Creek Piles,3/26/2016,4/1/2016,State,Bear River Area,300,Piles,,41.681,-113.819,Historical,5200,1 - N. West Desert,0,1,3/24/2016
"North Beaver, Mud Flat / Duncan Creek",3/31/2016,4/6/2016,USFS,Fishlake NF Beaver,500,Broadcast,,38.284,-112.475,Historical,7000,"16 - Above 6,500 feet
",0,0,3/24/2016
"North Beaver, Baker / Face",3/31/2016,4/6/2016,USFS,Fishlake NF Beaver,500,Broadcast,,38.283,-112.549,Historical,6500,"16 - Above 6,500 feet
",0,0,3/24/2016
West Slope WUI piles ,3/25/2016,3/31/2016,USFS,Manti-La Sal South Zone,100,Piles,"Moab, Spanish Valley , Castle Valley ",38.497,-109.326,Historical,6700,"16 - Above 6,500 feet
",0,0,3/22/2016
Fish Springs RX,3/23/2016,3/29/2016,FWS,Rocky/Basin Refuges,2000,Broadcast,,39.86,-113.359,Historical,4290,"2 - S. West Desert
",0,0,3/21/2016
Water Canyon,3/21/2016,3/27/2016,USFS,Fishlake NF Fillmore,250,Broadcast,"I-70, I-15, Cove Fort",38.608,-112.508,Historical,6130,"2 - S. West Desert
",0,0,3/21/2016
Black Cedar,3/21/2016,3/27/2016,USFS,Fishlake NF Fillmore,300,Piles,"I-15, Fillmore City ",38.98,-112.248,Historical,5900,"2 - S. West Desert
",0,0,3/21/2016
Cooper Knoll Central,3/21/2016,3/27/2016,USFS,Dixie NF Cedar City,300,Broadcast,,37.719,-112.599,Historical,7800,"16 - Above 6,500 feet
",0,0,3/18/2016
Salt Creek WMA,3/21/2016,3/26/2016,State,Bear River Area,300,Broadcast,Interstate 15/84/Tremonton,41.638,-112.254,Historical,4200,"4 - Cache/Bear R.
",0,0,3/18/2016
Harold Crane,3/21/2016,3/26/2016,State,Bear River Area,375,Broadcast,Interstate 15/84,41.336,-112.138,Historical,4205,"5 - N. Wasatch Front
",0,1,3/18/2016
Zion Piles,3/21/2016,3/25/2016,NPS,Utah NPS Units,9,Piles,Springdale,37.386,-113.028,Historical,3900,"13 - Sevier R.
",1,0,3/17/2016
"North Beaver, Baker / Face",3/22/2016,3/28/2016,USFS,Fishlake NF Beaver,500,Broadcast,,38.283,-112.549,Historical,6500,"16 - Above 6,500 feet
",0,0,3/17/2016
Monument Peak Rx,3/20/2016,3/26/2016,USFS,Fishlake NF Richfield,200,Stand Replace,"Grass Valley Communities, Koosharem, Monroe Meadows, Richfield, Manning Meadows, Monroe",38.55,-111.935,Historical,7000,"16 - Above 6,500 feet
",0,0,3/16/2016
Rush Valley RX,3/28/2016,4/3/2016,BLM,West Desert District,289,Broadcast,"Vernon, Rush Valley, Stockton",40.298,-112.533,Historical,4800,1 - N. West Desert,0,0,3/16/2016
Fish & Game,3/18/2016,3/21/2016,State,Central Area,10,Broadcast,"Richfield, Glenwood",38.772,-112.03,Historical,5251,"13 - Sevier R.
",0,0,3/16/2016
Bear River Wetlands,3/17/2016,3/23/2016,FWS,Rocky/Basin Refuges,1000,Broadcast,,41.418,-112.227,Historical,4200,"4 - Cache/Bear R.
",0,1,3/15/2016
Ashley NF Piles,3/16/2016,3/22/2016,USFS,Ashley NF East Zone,1,Piles,Maeser,40.626,-109.74,Historical,8900,"16 - Above 6,500 feet
",0,0,3/15/2016
West Slope WUI piles ,3/18/2016,3/24/2016,USFS,Manti-La Sal South Zone,500,Piles,"Moab, Spanish Valley , Castle Valley ",38.497,-109.326,Historical,6700,"16 - Above 6,500 feet
",0,0,3/15/2016
Fish Springs RX,3/16/2016,3/22/2016,FWS,Rocky/Basin Refuges,2000,Broadcast,,39.856,-113.363,Historical,4290,"2 - S. West Desert
",0,0,3/15/2016
Johnson Creek,12/2/2016,12/8/2016,State,Southeastern Area,5,Piles,"Monticello, Blanding",37.727,-109.458,Historical,6500,"16 - Above 6,500 feet
",0,0,3/14/2016
"North Beaver, Baker / Face",3/15/2016,3/21/2016,USFS,Fishlake NF Beaver,1000,Broadcast,,38.283,-112.549,Historical,6500,"16 - Above 6,500 feet
",0,0,3/14/2016
Water Canyon,3/14/2016,3/20/2016,USFS,Fishlake NF Fillmore,250,Broadcast,"I-70, I-15, Cove Fort",38.608,-112.508,Historical,6130,"2 - S. West Desert
",0,0,3/13/2016
Black Cedar,3/14/2016,3/20/2016,USFS,Fishlake NF Fillmore,300,Piles,"I-15, Fillmore City ",38.98,-112.248,Historical,5900,"2 - S. West Desert
",0,0,3/13/2016
Duck Creek Fuels Piles,3/14/2016,3/20/2016,USFS,Dixie NF Cedar City,300,Partial Burn,,37.497,-112.645,Historical,7300,"16 - Above 6,500 feet
",0,0,3/10/2016
Duck Creek Fuels Aspen,3/14/2016,3/20/2016,USFS,Dixie NF Cedar City,300,Broadcast,,37.497,-112.647,Historical,7300,"16 - Above 6,500 feet
",0,0,3/10/2016
Cooper Knoll Central,3/17/2016,3/23/2016,USFS,Dixie NF Cedar City,300,Broadcast,,37.719,-112.599,Historical,7800,"16 - Above 6,500 feet
",0,0,3/10/2016
Zion Piles,3/14/2016,3/18/2016,NPS,Utah NPS Units,9,Piles,Springdale,37.384,-113.025,Historical,3900,"13 - Sevier R.
",1,0,3/10/2016
Pine Valley District Piles,3/10/2016,3/16/2016,USFS,Dixie NF Pine Valley,50,Piles,"Veyo, New Harmony, Central",37.444,-113.494,Historical,5200,"16 - Above 6,500 feet
",0,0,3/8/2016
Upper Santa Clara,3/10/2016,3/16/2016,USFS,Dixie NF Pine Valley,50,Piles,"Veyo, Pine Valley, Central",37.377,-113.471,Historical,6650,"16 - Above 6,500 feet
",0,0,3/8/2016
West Slope WUI piles ,3/11/2016,3/17/2016,USFS,Manti-La Sal South Zone,500,Piles,"Moab, Spanish Valley , Castle Valley ",38.497,-109.326,Historical,6700,"16 - Above 6,500 feet
",0,0,3/8/2016
Bear River Wetlands,3/10/2016,3/16/2016,FWS,Rocky/Basin Refuges,1000,Broadcast,,41.478,-112.265,Historical,4200,"4 - Cache/Bear R.
",0,1,3/7/2016
Color Country Piles,3/8/2016,3/14/2016,BLM,Color Country District,6,Piles,,38.333,-112.577,Historical,2800,"2 - S. West Desert
",0,0,3/7/2016
Devils Canyon Piles ,3/8/2016,3/14/2016,USFS,Manti-La Sal South Zone,50,Piles,"Monticello, Blanding",37.736,-109.411,Historical,7000,"16 - Above 6,500 feet
",0,0,3/7/2016
Meadow,3/8/2016,3/14/2016,BLM,West Desert District,450,Piles,"Kanosh, I-15, Fillmore, Meadow",38.877,-112.363,Historical,5100,"2 - S. West Desert
",0,0,3/7/2016
Flat Top/Steve's Basin Rx,3/8/2016,3/11/2016,USFS,Fishlake NF Richfield,150,Partial Burn,"Interstate 70, Salina, Redmond, Aurora, Sigurd, Glenwood, Richfield",38.828,-111.821,Historical,6500,"16 - Above 6,500 feet
",0,0,3/4/2016
Color Country Piles,3/7/2016,3/13/2016,BLM,Color Country District,22,Piles,,37.316,-113.693,Historical,2800,"3 - Virgin R.
",0,0,3/4/2016
Beaver Ranger District Slash Piles,3/7/2016,3/11/2016,USFS,Fishlake NF Beaver,1,Piles,,38.237,-112.467,Historical,6500,"16 - Above 6,500 feet
",0,0,3/3/2016
Zion Piles,3/7/2016,3/11/2016,NPS,Utah NPS Units,9,Piles,Springdale,37.384,-113.026,Historical,3900,"13 - Sevier R.
",1,0,3/3/2016
Ponderosa Restoration Broadcast,3/4/2016,3/10/2016,USFS,UWC NF South Zone,100,Broadcast,"Alpine Acres, Oakley, Kamas, Mirror Lake Highway, Weber Canyon, Marion, Woodland, Francis, Samak, Peoa",40.605,-111.103,Historical,7400,"16 - Above 6,500 feet
",0,0,3/3/2016
Duck Creek Fuels Piles,3/2/2016,3/8/2016,USFS,Dixie NF Cedar City,200,Partial Burn,,37.497,-112.645,Historical,7300,"16 - Above 6,500 feet
",0,0,3/1/2016
Fruitland,3/3/2016,3/9/2016,State,Northeastern Area,6,Piles,,40.191,-110.68,Historical,6584,"16 - Above 6,500 feet
",0,0,3/1/2016
Ray Mesa II,3/2/2016,3/8/2016,BLM,Canyon Country District,104,Piles,,38.309,-109.062,Historical,7080,"16 - Above 6,500 feet
",0,0,3/1/2016
Grandstaff Island,3/2/2016,3/8/2016,State,Southeastern Area,3,Piles,"Moab, Spanish Valley",38.61,-109.535,Historical,4000,12 - Upper Colo. R.,1,0,3/1/2016
D4 Administrative Piles Rx,3/2/2016,3/4/2016,USFS,Fishlake NF Richfield,2,Piles,Gooseberry Campground,38.563,-111.955,Historical,6500,"16 - Above 6,500 feet
",0,0,2/29/2016
North Zone Piles,3/1/2016,3/7/2016,USFS,UWC NF North Zone,150,Piles,"Lonetree, Robertson",40.942,-110.433,Historical,4000,"16 - Above 6,500 feet
",0,0,2/29/2016
Devil Canyon,2/29/2016,3/6/2016,BLM,Canyon Country District,20,Piles,,37.709,-109.391,Historical,5577,"16 - Above 6,500 feet
",0,0,2/29/2016
West Slope WUI piles ,3/4/2016,3/10/2016,USFS,Manti-La Sal South Zone,500,Piles,"Moab, Spanish Valley , Castle Valley ",38.497,-109.326,Historical,6700,"16 - Above 6,500 feet
",0,0,2/28/2016
Meadow,3/1/2016,3/7/2016,BLM,West Desert District,450,Piles,"Kanosh, I-15, Fillmore, Meadow",38.877,-112.363,Historical,5100,"2 - S. West Desert
",0,0,2/25/2016
Black Cedar,2/29/2016,3/6/2016,USFS,Fishlake NF Fillmore,950,Piles,"I-15, Fillmore City ",38.98,-112.248,Historical,5900,"2 - S. West Desert
",0,0,2/25/2016
Flat Top/Steve's Basin Rx,2/29/2016,3/6/2016,USFS,Fishlake NF Richfield,150,Partial Burn,"Interstate 70, Salina, Redmond, Aurora, Sigurd, Glenwood, Richfield",38.828,-111.821,Historical,6500,"16 - Above 6,500 feet
",0,0,2/24/2016
West Slope WUI piles ,2/26/2016,3/3/2016,USFS,Manti-La Sal South Zone,500,Piles,"Moab, Spanish Valley , Castle Valley ",38.497,-109.326,Historical,6700,"16 - Above 6,500 feet
",0,0,2/22/2016
Fruitland,2/23/2016,2/29/2016,State,Northeastern Area,15,Piles,,40.191,-110.68,Historical,6584,"16 - Above 6,500 feet
",0,0,2/22/2016
North Zone Piles,2/23/2016,2/29/2016,USFS,UWC NF North Zone,150,Piles,"Lonetree, Robertson",40.942,-110.433,Historical,4000,"16 - Above 6,500 feet
",0,0,2/22/2016
Duck Creek Fuels Aspen,2/24/2016,3/1/2016,USFS,Dixie NF Cedar City,300,Broadcast,,37.497,-112.647,Historical,7300,"16 - Above 6,500 feet
",0,0,2/22/2016
Duck Creek Fuels Piles,2/24/2016,3/1/2016,USFS,Dixie NF Cedar City,300,Partial Burn,,37.497,-112.645,Historical,7300,"16 - Above 6,500 feet
",0,0,2/22/2016
SEUG Admin Piles,2/18/2016,2/23/2016,NPS,Utah NPS Units,1,Piles,"Castle Valley, Moab",38.616,-109.616,Historical,4000,12 - Upper Colo. R.,1,0,2/17/2016
Devil Canyon,2/18/2016,2/24/2016,BLM,Canyon Country District,150,Piles,,37.69,-109.347,Historical,5577,"15 - San Juan R.
",0,0,2/17/2016
Ray Mesa II,2/17/2016,2/23/2016,BLM,Canyon Country District,145,Piles,,38.309,-109.062,Historical,7080,"16 - Above 6,500 feet
",0,0,2/17/2016
West Slope WUI piles ,2/19/2016,2/25/2016,USFS,Manti-La Sal South Zone,500,Piles,"Moab, Spanish Valley , Castle Valley ",38.497,-109.326,Historical,6700,"16 - Above 6,500 feet
",0,0,2/16/2016
Dikes and Piles,2/18/2016,2/24/2016,FWS,Rocky/Basin Refuges,1,Piles,"Tremonton, Corinne, Bigham City",41.51,-112.107,Historical,4200,"4 - Cache/Bear R.
",0,1,2/16/2016
Zion Grass RX,2/13/2016,2/19/2016,NPS,Utah NPS Units,25,Broadcast,,37.211,-112.977,Historical,3999,"3 - Virgin R.
",1,0,2/12/2016
North Zone Piles,2/11/2016,2/17/2016,USFS,UWC NF North Zone,300,Piles,"Lonetree, Robertson",40.942,-110.433,Historical,4000,"16 - Above 6,500 feet
",0,0,2/10/2016
West Slope WUI piles ,2/12/2016,2/18/2016,USFS,Manti-La Sal South Zone,500,Piles,"Moab, Spanish Valley , Castle Valley ",38.497,-109.326,Historical,6700,"16 - Above 6,500 feet
",0,0,2/10/2016
West Slope WUI piles ,2/5/2016,2/11/2016,USFS,Manti-La Sal South Zone,100,Piles,"Moab, Spanish Valley , Castle Valley ",38.497,-109.326,Historical,6700,"16 - Above 6,500 feet
",0,0,1/28/2016
South Zone Pile Burn,2/1/2016,2/5/2016,USFS,UWC NF South Zone,1,Piles,,40.481,-111.636,Historical,4000,"16 - Above 6,500 feet
",0,0,1/28/2016
Fruitland,2/1/2016,2/5/2016,State,Northeastern Area,5,Piles,,40.187,-110.684,Historical,6584,"16 - Above 6,500 feet
",0,0,1/28/2016
Dikes and Piles,1/29/2016,2/4/2016,FWS,Rocky/Basin Refuges,1,Piles,"Tremonton, Corinne, Bigham City",41.458,-112.102,Historical,4200,"4 - Cache/Bear R.
",0,1,1/28/2016
Zion Piles,1/29/2016,2/3/2016,NPS,Utah NPS Units,1,Piles,Springdale,37.216,-112.975,Historical,3900,"3 - Virgin R.
",1,0,1/28/2016
Zion Grass RX,1/29/2016,2/5/2016,NPS,Utah NPS Units,25,Broadcast,,37.211,-112.977,Historical,3999,"3 - Virgin R.
",1,0,1/28/2016
North Zone Piles,1/29/2016,2/4/2016,USFS,UWC NF North Zone,600,Piles,"Lonetree, Robertson",40.942,-110.433,Historical,4000,"16 - Above 6,500 feet
",0,0,1/27/2016
West Slope WUI piles ,1/29/2016,2/4/2016,USFS,Manti-La Sal South Zone,100,Piles,"Moab, Spanish Valley , Castle Valley ",38.497,-109.326,Historical,6700,"16 - Above 6,500 feet
",0,0,1/26/2016
SEUG Admin Piles,1/20/2016,1/26/2016,NPS,Utah NPS Units,1,Piles,"Castle Valley, Moab",38.616,-109.616,Historical,4000,12 - Upper Colo. R.,1,0,1/20/2016
North Zone Piles,1/21/2016,1/27/2016,USFS,UWC NF North Zone,300,Piles,"Lonetree, Robertson",40.952,-110.583,Historical,4000,"16 - Above 6,500 feet
",0,0,1/20/2016
Devil Canyon,1/20/2016,1/26/2016,BLM,Canyon Country District,802,Piles,,37.69,-109.347,Historical,5577,"15 - San Juan R.
",0,0,1/19/2016
Ray Mesa II,1/20/2016,1/26/2016,BLM,Canyon Country District,142,Piles,,38.309,-109.062,Historical,7080,"16 - Above 6,500 feet
",0,0,1/19/2016
Reservation Ridge Piles,1/20/2016,1/26/2016,BLM,Green River District,2,Piles,,39.996,-110.638,Historical,8900,"16 - Above 6,500 feet
",0,0,1/19/2016
Argyle,1/20/2016,1/26/2016,State,Northeastern Area,7,Piles,Hwy 191,39.866,-110.799,Historical,7200,"16 - Above 6,500 feet
",0,0,1/19/2016
Fruitland,1/14/2016,1/20/2016,State,Northeastern Area,6,Piles,,40.191,-110.68,Historical,6584,"16 - Above 6,500 feet
",0,0,1/13/2016
Wolf Creek Ranch,1/14/2016,1/20/2016,State,Northeastern Area,3,Piles,"Timber Lakes, Big Pole Estates, Heber Valley Camp",40.44,-111.231,Historical,6700,"16 - Above 6,500 feet
",0,0,1/13/2016
Horse Canyon Piles,1/12/2016,1/18/2016,BLM,Canyon Country District,50,Piles,"colombia, East Carbon",39.427,-110.405,Historical,5560,12 - Upper Colo. R.,0,0,1/12/2016
Zion Piles,1/11/2016,1/15/2016,NPS,Utah NPS Units,9,Piles,Springdale,37.216,-112.975,Historical,3900,"3 - Virgin R.
",1,0,1/7/2016
Wolf Creek Ranch,1/7/2016,1/13/2016,State,Northeastern Area,3,Piles,"Timber Lakes, Big Pole Estates, Heber Valley Camp",40.451,-111.238,Historical,6700,"16 - Above 6,500 feet
",0,0,1/6/2016
Dikes and Piles,1/7/2016,1/13/2016,FWS,Rocky/Basin Refuges,5,Piles,"Tremonton, Corinne, Bigham City",41.458,-112.102,Historical,4200,"4 - Cache/Bear R.
",0,1,1/6/2016
Color Country Piles,1/6/2016,1/12/2016,BLM,Color Country District,60,Piles,,37.302,-113.69,Historical,2800,"3 - Virgin R.
",0,0,1/5/2016
Horse Canyon Piles,1/5/2016,1/11/2016,BLM,Canyon Country District,50,Piles,"colombia, East Carbon",39.427,-110.405,Historical,5560,12 - Upper Colo. R.,0,0,1/4/2016
Dikes and Piles,12/17/2015,12/23/2015,FWS,Rocky/Basin Refuges,5,Piles,"Tremonton, Corinne, Bigham City",41.458,-112.102,Historical,4200,"4 - Cache/Bear R.
",0,1,12/15/2015
Devil Canyon,12/15/2015,12/21/2015,BLM,Canyon Country District,50,Piles,"HWY 191, Canyon Terrace Subdivision",37.69,-109.347,Historical,5577,"15 - San Juan R.
",0,0,12/14/2015
South Fork Chalk Creek,12/14/2015,12/17/2015,State,Northeastern Area,25,Piles,"Coalville, Chalk Creek Gas Plant, Emory",40.933,-111.271,Historical,6700,"16 - Above 6,500 feet
",0,0,12/13/2015
South Zone Pile Burn,12/15/2015,12/21/2015,USFS,UWC NF South Zone,5,Piles,,40.481,-111.085,Historical,4000,"16 - Above 6,500 feet
",0,0,12/10/2015
Green River District Programmatic Pile Plan,12/10/2015,12/16/2015,BLM,Green River District,20,Piles,,40.572,-109.659,Historical,4800,"9 - Uinta Basin
",0,0,12/9/2015
Rainbow Point Piles,12/10/2015,12/16/2015,NPS,Utah NPS Units,5,Piles,"Cannonville, Tropic, Alton",37.474,-112.24,Historical,9035,"16 - Above 6,500 feet
",1,0,12/9/2015
Black Cedar,12/10/2015,12/16/2015,USFS,Fishlake NF Fillmore,950,Piles,"I-15, Fillmore City ",38.98,-112.248,Historical,5900,"2 - S. West Desert
",0,0,12/8/2015
Zion Piles,12/14/2015,12/18/2015,NPS,Utah NPS Units,9,Piles,Springdale,37.216,-112.975,Historical,3900,"16 - Above 6,500 feet
",1,0,12/8/2015
Horse Canyon Piles,12/9/2015,12/15/2015,BLM,Canyon Country District,170,Piles,"COLUMBIA, EAST CARBON ",39.427,-110.405,Historical,5560,12 - Upper Colo. R.,0,0,12/8/2015
Zion Piles,12/14/2015,12/18/2015,NPS,Utah NPS Units,9,Piles,,37.386,-113.032,Historical,3900,"16 - Above 6,500 feet
",1,0,12/8/2015
Cedar City Piles,12/8/2015,12/14/2015,USFS,Dixie NF Cedar City,50,Piles,"Long Valley Jct., Duck Creek Village, Hatch",37.545,-112.646,Historical,7300,"16 - Above 6,500 feet
",0,0,12/7/2015
Duck Creek Fuels Piles,12/8/2015,12/14/2015,USFS,Dixie NF Cedar City,1000,Partial Burn,"Duck Creek Village, Strawberry Subdivision",37.497,-112.645,Historical,7300,"16 - Above 6,500 feet
",0,0,12/7/2015
South Zone Pile Burn,12/8/2015,12/14/2015,USFS,UWC NF South Zone,10,Piles,,40.481,-111.085,Historical,4000,"16 - Above 6,500 feet
",0,0,12/7/2015
Argyle,12/10/2015,12/16/2015,State,Northeastern Area,10,Piles,"Soldier Summit, Helper, Duchesne",39.851,-110.839,Historical,7200,"16 - Above 6,500 feet
",0,0,12/7/2015
Box Elder Piles,12/8/2015,12/14/2015,State,Bear River Area,50,Piles,,41.813,-112.752,Historical,4200,1 - N. West Desert,0,0,12/7/2015
Rich Piles,12/8/2015,12/14/2015,State,Bear River Area,25,Piles,,41.441,-111.154,Historical,5000,"16 - Above 6,500 feet
",0,0,12/7/2015
Upper Santa Clara,12/6/2015,12/12/2015,USFS,Dixie NF Pine Valley,30,Piles,"Veyo, Pine Valley, Central",37.377,-113.471,Historical,6650,"16 - Above 6,500 feet
",0,0,12/3/2015
Zion Piles,12/7/2015,12/11/2015,NPS,Utah NPS Units,8,Piles,Springdale,37.216,-112.975,Historical,3900,"16 - Above 6,500 feet
",1,0,12/3/2015
Ashley NF Piles,12/7/2015,12/13/2015,USFS,Ashley NF East Zone,50,Piles,"Helper/Price, Soldier Summit, Duchesne",39.876,-110.876,Historical,8900,"16 - Above 6,500 feet
",0,0,12/2/2015
Utah Lake Inlet Park,12/4/2015,12/10/2015,State,Wasatch Front Area,22.5,Broadcast,"Lehi, Saratoga Springs, Eagle Mountain-Ranches",40.359,-111.894,Historical,4494,"8 - S. Wasatch Front
",0,1,12/2/2015
Argyle,11/30/2015,12/3/2015,State,Northeastern Area,5,Piles,"Soldier Summit, Helper, Duchesne",39.88,-110.733,Historical,7200,"16 - Above 6,500 feet
",0,0,11/30/2015
Rich Piles,11/25/2015,11/30/2015,State,Bear River Area,15,Piles,,41.788,-111.447,Historical,5000,"16 - Above 6,500 feet
",0,0,11/25/2015
Wolf Creek Ranch,12/2/2015,12/8/2015,State,Northeastern Area,3,Piles,"Heber Valley Camp, Big Pole Estates, Timber Lakes",40.514,-111.305,Historical,6700,"16 - Above 6,500 feet
",0,0,11/24/2015
Horse Canyon Piles,11/30/2015,12/6/2015,BLM,Canyon Country District,170,Piles,"COLUMBIA, EAST CARBON ",39.428,-110.403,Historical,5560,12 - Upper Colo. R.,0,0,11/24/2015
Ashley NF Piles,11/24/2015,11/30/2015,USFS,Ashley NF East Zone,200,Piles,"Helper/Price, Soldier Summit, Duchesne",39.876,-110.876,Historical,8900,"16 - Above 6,500 feet
",0,0,11/24/2015
Sevier River Piles,11/24/2015,11/25/2015,State,Central Area,1,Piles,"Richfield, Salina, Koosharem",38.774,-112.026,Historical,5800,"13 - Sevier R.
",0,0,11/23/2015
Duck Creek Fuels Piles,11/24/2015,11/30/2015,USFS,Dixie NF Cedar City,600,Partial Burn,"Duck Creek Village, Strawberry Subdivision",37.497,-112.645,Historical,7300,"16 - Above 6,500 feet
",0,0,11/23/2015
Cedar City Piles,11/24/2015,11/30/2015,USFS,Dixie NF Cedar City,100,Piles,"Long Valley Jct., Duck Creek Village, Hatch",37.545,-112.646,Historical,7300,"16 - Above 6,500 feet
",0,0,11/23/2015
Upper Santa Clara,11/24/2015,11/30/2015,USFS,Dixie NF Pine Valley,50,Piles,"Veyo, Pine Valley, Central",37.377,-113.471,Historical,6650,"16 - Above 6,500 feet
",0,0,11/23/2015
South Zone Pile Burn,11/25/2015,12/1/2015,USFS,UWC NF South Zone,5,Piles,,40.481,-111.085,Historical,4000,"16 - Above 6,500 feet
",0,0,11/23/2015
Cold Water,11/22/2015,11/29/2015,State,Bear River Area,5,Piles,,41.568,-111.749,Historical,6000,"16 - Above 6,500 feet
",0,0,11/20/2015
D4 Administrative Piles Rx,11/23/2015,11/25/2015,USFS,Fishlake NF Richfield,15,Piles,Gooseberry Campground,38.933,-111.487,Historical,6500,"16 - Above 6,500 feet
",0,0,11/20/2015
Black Cedar,12/1/2015,12/6/2015,USFS,Fishlake NF Fillmore,950,Piles,"I-15, Fillmore City ",38.98,-112.248,Historical,5900,"2 - S. West Desert
",0,0,11/19/2015
Color Country Piles,11/17/2015,11/20/2015,DAQ,Color Country District,5,Piles,Modena,37.183,-113.876,Historical,2800,"3 - Virgin R.
",0,0,11/18/2015
Utah Lake Inlet Park,11/19/2015,11/25/2015,State,Wasatch Front Area,22.5,Broadcast,"Lehi, Saratoga Springs, Eagle Mountain-Ranches",40.359,-111.894,Historical,4494,"8 - S. Wasatch Front
",0,1,11/18/2015
South Zone Pile Burn,11/18/2015,11/24/2015,USFS,UWC NF South Zone,5,Piles,,40.481,-111.085,Historical,4000,"16 - Above 6,500 feet
",0,0,11/18/2015
BSA-Watson Fuel Break,11/18/2015,11/24/2015,State,Central Area,2,Piles,"Spring City, Moroni, Mount Pleasant",39.493,-111.394,Historical,6798,"10 - San Pitch R.
",0,0,11/17/2015
Reservation Ridge Piles,11/18/2015,11/24/2015,BLM,Green River District,10,Piles,"Helper, Soldier Summit, Duchesne",39.996,-110.638,Historical,8900,"16 - Above 6,500 feet
",0,0,11/17/2015
BSA-Watson Fuel Break,11/18/2015,11/24/2015,State,Central Area,1,Piles,,39.493,-111.394,Historical,6798,"10 - San Pitch R.
",0,0,11/17/2015
Reservation Ridge Piles,11/19/2015,11/25/2015,BLM,Green River District,10,Piles,,39.996,-110.638,Historical,8900,1 - N. West Desert,0,0,11/17/2015
Black Ridge,11/18/2015,11/24/2015,BLM,Canyon Country District,17,Piles,"Browns Hole, La Sal Junction, La Sal",38.338,-109.351,Historical,7654,12 - Upper Colo. R.,0,0,11/17/2015
Frenchman RX,11/16/2015,11/22/2015,DAQ,Southeastern Area,50,Piles,"Hanksville, Green River",38.741,-110.303,Historical,4087,12 - Upper Colo. R.,0,0,11/16/2015
Green River District Programmatic Pile Plan,11/17/2015,11/23/2015,BLM,Green River District,20,Piles,,40.572,-109.659,Historical,4800,"16 - Above 6,500 feet
",0,0,11/16/2015
Fruitland,11/18/2015,11/24/2015,State,Northeastern Area,5,Piles,Highway 40,40.191,-110.68,Historical,6584,"16 - Above 6,500 feet
",0,0,11/16/2015
Beaver Ranger District Slash Piles,11/17/2015,11/23/2015,USFS,Fishlake NF Beaver,5,Piles,,38.237,-112.467,Historical,6500,"16 - Above 6,500 feet
",0,0,11/16/2015
Duck Creek Fuels Piles,11/17/2015,11/23/2015,USFS,Dixie NF Cedar City,1500,Partial Burn,"Duck Creek Village, Strawberry Subdivision",37.497,-112.645,Historical,7300,"16 - Above 6,500 feet
",0,0,11/15/2015
Cedar City Piles,11/17/2015,11/23/2015,USFS,Dixie NF Cedar City,100,Piles,"Long Valley Jct., Duck Creek Village, Hatch",37.545,-112.646,Historical,7300,"16 - Above 6,500 feet
",0,0,11/15/2015
Rich Piles,11/17/2015,11/23/2015,State,Bear River Area,1,Piles,,41.418,-111.245,Historical,5000,"16 - Above 6,500 feet
",0,0,11/15/2015
Rush Valley RX,11/16/2015,11/22/2015,BLM,West Desert District,11,Broadcast,"Ophir, Stockton, Rush Valley",40.298,-112.533,Historical,4800,1 - N. West Desert,0,0,11/15/2015
Grouse Creek Piles,11/16/2015,11/22/2015,State,Bear River Area,1300,Piles,,41.681,-113.819,Historical,5200,1 - N. West Desert,0,1,11/14/2015
